year,label,deminc,popmargin,demvote,incvotemargin,incvote,inc1,eygdp,q2gdp,fhgdp,incelectvote,demelectvote,landslide,wonlost,inc,electapp,juneapp,term1,term2,dmargin,juneapp2,filter_.,predincvote
1948,48       ,1,4.599999999999994,52.3,4.599999999999994,52.3,0,3.9,7.6,7.1,57.1,57.1,0,Won,Yes,NA,-4,0,1,4.599999999999994,Negative,Selected,50.46729078445501
1952,52       ,1,-10.799999999999997,44.6,-10.799999999999997,44.6,0,5.4,0.4,2.25,16.8,16.8,1,Lost,No,-23,-26,0,1,-10.799999999999997,Negative,Not Selected,NA
1956,56       ,0,-15.599999999999994,42.2,15.599999999999994,57.8,1,2,3.2,0.65,86.1,13.9,1,Won,Yes,48,55,1,0,-15.599999999999994,Positive,Selected,56.53733864691747
1960,60       ,0,0.20000000000000284,50.1,-0.20000000000000284,49.9,0,0.9,-1.9,3.7,43.6,56.4,0,Lost,No,27,30,0,1,0.20000000000000284,Positive,Not Selected,NA
1964,64       ,1,22.599999999999994,61.3,22.599999999999994,61.3,1,5.2,4.7,7,90.3,90.3,1,Won,Yes,51,59,1,0,22.599999999999994,Positive,Selected,62.65952869047774
1968,68       ,1,-0.7999999999999972,49.6,-0.7999999999999972,49.6,0,5,7,7.75,44.1,44.1,0,Lost,No,-9,-7,0,1,-0.7999999999999972,Negative,Not Selected,NA
1972,72       ,0,-23.599999999999994,38.2,23.599999999999994,61.8,1,6.9,9.8,8.55,96.7,3.3,1,Won,Yes,34,23,1,0,-23.599999999999994,Positive,Selected,60.1793177111986
1976,76       ,0,2.200000000000003,51.1,-2.200000000000003,48.9,0,4.3,3,6.15,44.8,55.2,0,Lost,Yes,5,5,0,1,2.200000000000003,Positive,Selected,50.58311067715079
1980,80       ,1,-10.599999999999994,44.7,-10.599999999999994,44.7,1,0,-7.9,-3.25,9.1,9.1,0,Lost,Yes,-25,-27,1,0,-10.599999999999994,Negative,Selected,44.227115468526215
1984,84       ,0,-18.400000000000006,40.8,18.400000000000006,59.2,1,5.6,7.1,7.6,97.6,2.4,1,Won,Yes,25,18,1,0,-18.400000000000006,Positive,Selected,58.79027269757762
1988,88       ,0,-7.799999999999997,46.1,7.799999999999997,53.9,0,3.8,5.2,3.7,79.2,21.8,0,Won,No,13,8,0,1,-7.799999999999997,Positive,Not Selected,NA
1992,92       ,0,7,53.5,-7,46.5,0,4.4,4.3,4.4,31.2,68.8,0,Lost,Yes,-22,-17,0,1,7,Negative,Selected,46.649598538394216
1996,96       ,1,9.400000000000006,54.7,9.400000000000006,54.7,1,4.4,7.1,5,70.4,70.4,0,Won,Yes,18,10,1,0,9.400000000000006,Positive,Selected,55.59967359970596
2000,00       ,1,0.5999999999999943,50.3,0.5999999999999943,50.3,0,3,8,4.6,49.6,49.6,0,Won,No,21,15,0,1,0.5999999999999943,Positive,Not Selected,NA
2004,04       ,0,-2.4000000000000057,48.8,2.480000000000004,51.24,1,3.3,2.9,2.9,53.2,46.8,0,Won,Yes,5,-1,1,0,-2.4000000000000057,Negative,Selected,52.5348104301465
2008,08       ,0,7.400000000000006,53.7,-7.400000000000006,46.3,0,-2.8,0.6,0.4,32.2,67.8,0,Lost,No,-40,-40,0,1,7.400000000000006,Negative,Not Selected,NA
2012,12       ,1,4,52,4,52,1,1.5,1.3,2.3,61.7,61.7,0,Won,Yes,8,1,1,0,4,Positive,Selected,52.21194275544994
2016,16       ,1,2.1,51,2.1,51.1,0,1.9,1.1,1.4,43.1,43.1,0,Won,No,6,4,0,1,2.1,Positive,Not Selected,NA
