state_name,pop,average_log_pop_within_5_miles,state
District of Columbia,684498,13.449023511058373,DC
New York,19618453,12.580470862565937,NY
California,39148760,12.239090666747337,CA
New Jersey,8881845,12.211909560415018,NJ
Nevada,2922849,11.95849654267124,NV
Massachusetts,6830193,11.836505036018947,MA
Maryland,6003435,11.723710184034063,MD
Rhode Island,1056611,11.71636557022922,RI
Illinois,12821497,11.708532771509539,IL
Arizona,6946685,11.530550629177567,AZ
Florida,20598139,11.527324044854888,FL
Colorado,5531141,11.397293916137622,CO
Connecticut,3581504,11.396147410785321,CT
Texas,27885195,11.35211735524185,TX
Utah,3045350,11.307666123689991,UT
Washington,7294336,11.307497505774847,WA
Pennsylvania,12791181,11.207100829903977,PA
Hawaii,1422029,11.195558409114147,HI
Virginia,8413774,11.077294982182073,VA
Oregon,4081943,11.035357914680429,OR
Delaware,949495,11.027283874808175,DE
Ohio,11641879,10.968567710712216,OH
Michigan,9957488,10.920314857532926,MI
Georgia,10297484,10.76425095102102,GA
Minnesota,5527358,10.74760238327755,MN
Nebraska,1904760,10.579373364011786,NE
Indiana,6637426,10.558315945386338,IN
Missouri,6090062,10.534507462394759,MO
North Carolina,10155624,10.487631582027893,NC
Wisconsin,5778394,10.465818678517401,WI
Louisiana,4663616,10.444701406105127,LA
New Mexico,2092434,10.412611475680038,NM
Kansas,2908776,10.410950668962462,KS
Tennessee,6651089,10.391341175409446,TN
Idaho,1687809,10.312906084385611,ID
Oklahoma,3918137,10.292899615512471,OK
South Carolina,4955925,10.29277308938897,SC
New Hampshire,1343622,10.141759681393005,NH
Kentucky,4440204,10.081893891020842,KY
Alabama,4864680,9.949457819638575,AL
Iowa,3132499,9.917997387151834,IA
Alaska,738516,9.91040013581723,AK
North Dakota,752201,9.755584569588564,ND
Arkansas,2990671,9.736944986094679,AR
South Dakota,864289,9.568190996530266,SD
Mississippi,2988762,9.543381146732168,MS
Wyoming,581836,9.495933287035538,WY
West Virginia,1829054,9.481219119851541,WV
Montana,1041732,9.479560557988366,MT
Maine,1332813,9.377285438665307,ME
Vermont,624977,9.108415574117503,VT
