state,pct_white_evangel
WV,0.455459228228805
AR,0.4479227110422084
TN,0.4427908569471662
OK,0.43204545734535854
KY,0.4308127200869166
AL,0.4201849079912597
MS,0.4190971791042241
SC,0.34911811617352934
KS,0.344544181670901
MO,0.33749051185622164
IN,0.33735345944317646
WY,0.33509487044222186
NC,0.33330254852029817
SD,0.3100961465032409
LA,0.29508553287101
MT,0.2912691704460002
ND,0.28879680120760454
GA,0.281578727442166
ID,0.26960003473371413
IA,0.2686099861684407
OH,0.2550984893732212
OR,0.2528683583564486
NE,0.23609096172222235
MN,0.23578627767607116
CO,0.2302819006045589
MI,0.22744450623876736
AK,0.22452863048905397
VA,0.2230887554805075
PA,0.210434650301524
TX,0.20926415556028044
WI,0.20546525072675645
FL,0.1933515751198072
WA,0.17641908792493102
ME,0.16724568793004524
DE,0.16602854089697017
AZ,0.15876644921198133
NH,0.15325219489787223
IL,0.14941684414753098
MD,0.1269912450865833
NV,0.12225287796773109
UT,0.109126588376713
CA,0.10398377782923703
NM,0.09597849308532423
RI,0.09491625110983697
NY,0.08944877555440028
CT,0.0883408535890877
NJ,0.08777564099134835
VT,0.08365047450102382
MA,0.07742229438323397
HI,0.053675338855577716
DC,0.029231076720640358
